nome,cpf,idade,data,endereco,estado
Benjamim Vasconcelos,364.810.952-98,47,1978-06-07,"setor costa
jardim leblon
15014-611 sales de minas / pb",ALAGOAS
Olívia Teixeira,569.238.017-02,34,1991-01-04,"estrada moreira
distrito industrial do jatoba
21531-631 cunha grande / pb",SANTA CATARINA
Carlos Eduardo Da Mota,206.739.541-61,54,1970-11-06,"feira manuella farias, 93
santa margarida
06510-180 lopes das pedras / df",PARÁ
Bryan Barros,762.094.381-13,27,1998-01-25,"parque fogaça
alto barroca
73012898 aparecida da prata / rr",MATO GROSSO
Ravi Fernandes,071.432.689-50,55,1970-04-21,"vale martins, 91
ademar maldonado
36954-054 da mata / ac",PARANÁ
Sra. Nina Cavalcanti,496.208.357-00,54,1970-08-04,"favela de vasconcelos, 6
são bernardo
76491088 gomes verde / mg",PARAÍBA
Augusto Cavalcante,253.706.941-25,38,1987-07-14,"sítio de barbosa, 7
minaslandia
82366-285 moreira / am",BAHIA
Sra. Amanda Jesus,032.185.679-12,48,1976-10-25,"rodovia de novaes, 27
bandeirantes
57866694 sousa / df",SERGIPE
Natália Pires,309.516.472-61,19,2005-08-02,"travessa albuquerque, 211
castanheira
74606438 vieira / pa",PERNAMBUCO
Lorenzo Freitas,093.217.846-40,52,1973-06-11,"colônia de abreu, 55
vila havaí
34895-238 costela da serra / pi",BAHIA
Rebeca Da Luz,586.739.024-10,38,1987-01-08,"travessa vieira, 96
vila maria
84702449 teixeira de lima / pr",AMAZONAS
Carlos Eduardo Cavalcante,842.360.519-15,32,1993-06-11,"residencial ana sophia santos
castanheira
87042345 das neves / mg",RONDÔNIA
Rhavi Ramos,546.178.239-64,27,1998-04-29,"colônia da mata
grajaú
05235-036 cavalcante de minas / pa",PARÁ
Julia Almeida,709.286.514-01,51,1974-03-16,"distrito moreira, 52
barreiro
74906-217 oliveira da mata / go",SÃO PAULO
Antonella Cirino,851.763.924-37,20,2004-09-07,"estrada de novais
são cristóvão
77930576 cirino grande / ms",MINAS GERAIS
Srta. Maria Laura Barbosa,957.062.413-25,22,2002-10-27,"trecho de azevedo, 70
unidas
53317-537 alves / rr",MATO GROSSO DO SUL
Pedro Rodrigues,397.042.851-32,36,1989-03-18,"fazenda caio abreu, 84
pedreira padro lopes
01766-314 da cunha / al",SERGIPE
Benício Rios,084.725.631-62,29,1996-05-14,"passarela de siqueira, 77
coração eucarístico
20500-811 silva / rj",RIO DE JANEIRO
Joaquim Leão,309.761.285-86,44,1981-04-26,"colônia asafe borges, 66
vila nova cachoeirinha 2ª seção
59901302 novaes / am",ALAGOAS
Rafaela Campos,158.246.079-58,58,1966-11-12,"vereda henry leão, 19
candelaria
33943-815 costela / sc",TOCANTINS
Marcelo Brito,630.592.148-24,48,1977-02-07,"largo jesus, 52
santa tereza
23083819 cassiano / rs",MINAS GERAIS
Sr. Luiz Fernando Ferreira,582.134.760-26,57,1968-01-26,"quadra de da luz, 84
sport club
23370-889 almeida / pe",RIO GRANDE DO SUL
Maria Luiza Moreira,038.275.649-56,56,1969-05-27,"vila aragão, 2
santa rita de cássia
32903-260 silveira / al",MARANHÃO
Lorena Pereira,287.601.953-12,60,1965-05-10,"feira borges, 954
nossa senhora da aparecida
18751-691 leão / go",ALAGOAS
Manuela Monteiro,710.432.658-80,52,1973-03-22,"largo abreu, 18
guaratã
19660-345 aragão / rj",RORAIMA
Otto Melo,893.741.560-75,21,2003-09-10,"campo mendes
maria tereza
41525-001 aparecida do norte / rj",CEARÁ
Davi Souza,651.203.489-98,21,2004-03-19,"vereda de teixeira, 5
boa esperança
13825-794 da rocha / to",SERGIPE
Ana Lívia Alves,853.461.207-26,22,2003-04-20,"chácara mateus da cunha, 393
concórdia
35509592 barbosa / pe",DISTRITO FEDERAL
Maria Isis Fogaça,143.902.576-25,30,1995-03-27,"setor levi souza, 597
vila atila de paiva
76432872 costa / pi",PARAÍBA
Dr. João Felipe Cunha,082.347.951-04,44,1981-06-07,"vale gabriela borges
carmo
82250-738 ribeiro / pa",MINAS GERAIS
João Lucas Rocha,132.706.985-77,25,2000-02-22,"via larissa pires, 621
capitão eduardo
02783-966 da mota / pb",ESPÍRITO SANTO
Sra. Maria Isis Peixoto,961.327.408-13,46,1979-06-21,"alameda paulo viana, 19
vila satélite
71560-385 ribeiro da prata / pa",AMAPÁ
Thomas Jesus,972.054.168-76,22,2003-07-07,"parque vasconcelos, 48
vila santa rosa
51183023 aparecida de nascimento / to",SERGIPE
Rodrigo Correia,723.481.605-44,58,1966-08-19,"trecho moraes, 81
conjunto floramar
85848388 nunes de araújo / mt",RIO DE JANEIRO
Bryan Silveira,412.756.389-37,18,2007-07-15,"estação pedro lucas cunha, 6
lourdes
95320-221 fonseca / ba",SERGIPE
Antonella Da Mota,048.732.916-31,18,2007-05-26,"lago de nogueira, 4
vila barragem santa lúcia
99583-488 da costa / pe",ESPÍRITO SANTO
Ester Gomes,073.512.968-12,30,1994-09-26,"campo alves, 7
santa amelia
79622332 barros alegre / mt",PARÁ
Clarice Siqueira,942.078.513-05,58,1967-05-29,"favela gabriel moraes, 81
são paulo
64879903 dias paulista / pb",ESPÍRITO SANTO
Isabella Macedo,502.143.679-16,28,1997-07-16,"recanto josé ramos, 274
paulo vi
03660-480 pires / ce",RIO DE JANEIRO
Henry Pinto,068.154.239-05,35,1990-03-11,"estrada martins, 886
mangabeiras
19690-909 nogueira da praia / to",ESPÍRITO SANTO
Lívia Porto,917.345.860-01,55,1969-12-10,"aeroporto carlos eduardo freitas, 58
guaratã
19216233 da mata de goiás / ce",AMAZONAS
Sr. Rafael Gomes,268.340.159-06,57,1968-04-19,"estação eduarda mendonça
mirtes
50465-599 da cunha / go",ESPÍRITO SANTO
Maysa Nascimento,014.298.563-51,47,1977-08-24,"lago emilly dias, 40
piratininga
61472083 siqueira da mata / rr",PIAUÍ
Cauã Sá,618.093.724-96,37,1988-07-06,"quadra yan santos, 46
vila são gabriel
16262437 albuquerque de pinto / rs",RIO GRANDE DO NORTE
Helena Cunha,230.617.584-53,48,1977-01-13,"lago pacheco, 41
solar do barreiro
53945-146 moura / pr",SÃO PAULO
José Pedro Vasconcelos,529.038.416-24,18,2006-09-21,"travessa da mata
novo glória
41489336 borges / al",MATO GROSSO
Enrico Campos,529.368.701-86,32,1992-11-11,"colônia dias, 21
taquaril
35096384 siqueira das flores / se",RORAIMA
Cecilia Abreu,145.076.928-49,33,1991-12-17,"ladeira montenegro, 12
conjunto jardim filadélfia
23822656 pires do amparo / rr",PIAUÍ
Liz Rios,541.208.973-97,56,1969-05-08,"pátio miguel vasconcelos, 9
são marcos
13812959 da luz / sc",DISTRITO FEDERAL
José Miguel Da Rosa,184.620.759-20,21,2003-12-21,"travessa pedro miguel melo, 49
beira linha
20361922 novaes do amparo / ap",MATO GROSSO DO SUL
Dr. Pedro Da Mata,260.391.857-59,29,1996-03-05,"vila de nunes, 49
vila ecológica
35652527 andrade das flores / am",PIAUÍ
Luana Da Mota,503.479.261-34,36,1989-07-11,"jardim porto, 31
bonsucesso
10663836 rezende das pedras / mg",SERGIPE
Igor Souza,098.745.312-23,42,1983-01-30,"avenida de da cunha, 857
conjunto são francisco de assis
21334459 casa grande verde / ro",MATO GROSSO
Ísis Correia,079.148.526-94,60,1964-10-24,"alameda de mendes, 83
serra
40838-502 da luz / ma",BAHIA
Dra. Isabela Campos,961.204.578-01,46,1979-05-09,"recanto aurora melo, 871
vila ouro minas
71458842 farias / ms",RIO GRANDE DO NORTE
Guilherme Cavalcante,975.240.638-65,30,1994-08-26,"praia de da paz, 4
vila nova paraíso
45213618 sales das flores / ce",RIO GRANDE DO NORTE
Pedro Lucas Sales,603.415.829-05,35,1989-11-19,"colônia de barros, 91
tres marias
06188775 da luz das pedras / ap",RORAIMA
Heloísa Vasconcelos,428.057.913-04,58,1967-03-26,"esplanada de melo
virgínia
11536504 machado / rn",RIO GRANDE DO SUL
Fernando Pereira,452.379.806-00,26,1998-10-17,"loteamento moraes, 160
alto das antenas
61942502 machado / pr",SANTA CATARINA
Maria Luiza Fogaça,301.785.264-44,36,1989-04-14,"setor oliveira, 73
diamante
07643607 sales / pi",ALAGOAS
Gabriel Da Paz,479.503.168-10,27,1998-02-19,"rodovia de marques, 3
prado
05542056 lopes de minas / pa",PIAUÍ
Lorenzo Barros,894.265.037-65,24,2001-06-03,"condomínio nunes
conjunto minas caixa
09975-938 garcia das pedras / ac",AMAZONAS
Dr. Ryan Da Mata,471.608.952-58,34,1991-01-06,"rua juliana azevedo, 151
manacas
56139829 marques / al",MATO GROSSO DO SUL
Ana Júlia Fogaça,938.524.670-47,19,2006-04-06,"sítio silva
vila são gabriel jacui
86986074 rios alegre / rs",TOCANTINS
Sr. Isaque Marques,743.218.590-50,38,1987-04-03,"via de vieira, 691
boa união 1ª seção
18567262 lima / rr",AMAZONAS
Larissa Rocha,218.543.679-19,59,1966-05-20,"vila elisa pereira, 227
ernesto nascimento
30314124 marques paulista / sp",RIO DE JANEIRO
Hellena Correia,932.165.087-30,55,1970-04-29,"recanto da conceição, 44
suzana
69635802 viana do amparo / to",PIAUÍ
Rafael Nunes,570.364.219-16,30,1995-03-22,"estrada cardoso, 15
vila da ária
60359927 macedo do campo / rj",MATO GROSSO DO SUL
Isabel Martins,972.816.053-40,55,1969-08-18,"loteamento lopes, 41
vitoria
81627-018 câmara / ro",DISTRITO FEDERAL
Alexandre Fonseca,204.895.367-00,27,1998-03-11,"rua lavínia fogaça, 4
madre gertrudes
38669196 da mota / rs",CEARÁ
Luísa Cavalcanti,903.276.514-07,43,1981-09-03,"vereda de moreira, 7
granja werneck
15709318 correia / pb",MARANHÃO
Isadora Vargas,459.810.273-04,56,1968-11-20,"favela cardoso, 53
mangabeiras
85050493 cavalcanti das pedras / se",MINAS GERAIS
Bernardo Da Rosa,149.865.732-09,53,1971-12-02,"vila de garcia
capitão eduardo
01336809 campos alegre / rr",RIO GRANDE DO SUL
Maria Vitória Costa,376.592.140-80,36,1988-10-23,"quadra de fogaça
vila betânia
10671-962 cavalcante do sul / rj",SANTA CATARINA
Bernardo Dias,789.463.512-09,20,2005-05-12,"favela costela, 63
sagrada família
64801547 teixeira do sul / am",PIAUÍ
Laura Nascimento,960.358.412-60,25,1999-09-19,"feira carolina das neves, 55
ipiranga
15777243 peixoto da praia / df",AMAZONAS
Davi Lucca Pimenta,906.172.384-13,34,1990-12-12,"distrito de da paz, 46
funcionários
73193898 gomes / ro",MINAS GERAIS
Emilly Siqueira,207.413.958-60,56,1969-05-30,"ladeira monteiro, 19
fazendinha
47840-172 moraes de pereira / to",SERGIPE
Daniela Aragão,128.963.045-33,38,1987-01-31,"feira de carvalho, 32
independência
53196-062 andrade / pa",SANTA CATARINA
Letícia Da Conceição,814.270.635-08,40,1985-02-23,"lago das neves, 791
vila dos anjos
80646-185 viana / df",MARANHÃO
Maria Isis Albuquerque,321.059.674-34,39,1985-08-21,"lagoa maria cecília melo, 48
vila santa monica 2ª seção
35610-361 vargas / to",PIAUÍ
Daniel Peixoto,573.819.620-12,55,1970-04-22,"pátio pires
nova suíça
64252574 vieira / sp",RORAIMA
Brenda Pinto,502.768.193-30,56,1968-09-27,"alameda maria clara pires, 9
itatiaia
97868-023 ferreira / pi",PARAÍBA
Evelyn Moraes,186.702.493-40,37,1987-09-06,"estação daniela fogaça, 32
vila madre gertrudes 3ª seção
29561986 teixeira de araújo / df",MARANHÃO
Heloisa Cavalcante,925.140.786-01,29,1995-10-26,"viaduto teixeira
pindorama
23008-315 da cruz / ap",BAHIA
Aylla Abreu,802.419.365-51,38,1986-11-22,"campo lopes, 74
maria virgínia
20907-900 carvalho do sul / mt",PARÁ
Dr. Antony Monteiro,096.132.485-60,36,1989-01-09,"sítio de araújo, 72
inconfidência
70781-301 rios / es",SERGIPE
Ana Vitória Mendonça,806.257.134-35,42,1982-09-06,"via cirino, 54
rio branco
30903299 cunha das flores / rj",MARANHÃO
Nathan Almeida,067.245.318-53,42,1983-01-26,"vila murilo da rosa, 21
santa rosa
32008-206 macedo / pa",ESPÍRITO SANTO
Melissa Melo,842.975.601-94,57,1968-01-02,"estrada sousa, 56
andiroba
64982-202 carvalho do campo / pa",PARAÍBA
Pietra Cassiano,934.870.125-88,22,2002-10-18,"travessa da mata, 69
vila nossa senhora do rosário
83191348 gonçalves de silveira / ba",ESPÍRITO SANTO
Vitória Caldeira,720.193.486-40,40,1985-04-18,"viela de pastor, 42
bacurau
67528436 pires da praia / pi",GOIÁS
Renan Silveira,197.645.803-00,19,2006-02-07,"morro matteo vargas, 50
cabana do pai tomás
88784343 abreu do sul / pi",BAHIA
Gael Machado,258.641.970-76,25,1999-10-26,"sítio de fernandes, 71
horto florestal
41542943 rios / ac",PERNAMBUCO
Sra. Rafaela Rios,597.183.604-84,54,1970-08-21,"viaduto emilly barbosa
buritis
25428623 cavalcante / ce",DISTRITO FEDERAL
Julia Vieira,260.357.984-38,24,2001-03-09,"quadra de correia, 9
salgado filho
30553-687 barros / rr",PARAÍBA
Matteo Da Paz,486.021.759-49,46,1978-08-08,"jardim de alves, 606
caiçaras
93082538 sampaio / rn",PIAUÍ
Anthony Gabriel Vieira,685.329.017-86,38,1986-11-24,"pátio cavalcanti, 8
nova america
68539-895 oliveira / go",SÃO PAULO
Breno Aparecida,859.263.170-02,31,1993-10-08,"loteamento evelyn vargas, 9
são pedro
87250-439 rezende do oeste / ac",PARANÁ
Ana Carolina Vieira,964.358.172-19,39,1985-12-17,"loteamento helena teixeira, 25
vila suzana segunda seção
47244088 mendes / pr",BAHIA
Ana Beatriz Câmara,285.964.017-76,43,1982-04-18,"viela de almeida, 46
vila santo antônio barroquinha
39843-575 cavalcanti de machado / df",BAHIA
Maria Eduarda Da Rocha,983.406.751-84,33,1992-06-03,"viela lopes, 50
joão alfredo
95683456 da costa paulista / ms",PIAUÍ
Sophie Borges,647.381.925-82,53,1972-01-12,"trecho da costa, 88
são francisco
36941-086 moreira do campo / rn",PIAUÍ
Zoe Pacheco,482.561.309-89,58,1967-04-13,"chácara ramos, 535
boa união 2ª seção
63455-992 das neves / rs",TOCANTINS
Maria Vitória Nascimento,079.412.356-25,31,1994-06-03,"alameda de nascimento, 1
boa vista
71575-825 mendes do norte / sc",RONDÔNIA
Davi Luiz Abreu,859.327.614-82,19,2005-11-22,"distrito de fernandes, 18
vila rica
46313079 fogaça de goiás / ba",BAHIA
Theodoro Cunha,513.728.640-08,18,2007-03-02,"núcleo de jesus, 72
vila fumec
48140923 machado / ro",SANTA CATARINA
Pedro Miguel Costa,239.105.487-41,47,1978-07-02,"chácara asafe fogaça, 47
vila maloca
32611-866 aparecida de barbosa / rr",AMAZONAS
Vinícius Pastor,053.947.126-70,31,1994-02-01,"jardim melo, 56
santa branca
73403977 araújo / al",PERNAMBUCO
Fernanda Almeida,430.658.972-29,60,1964-12-07,"pátio de pacheco, 7
brasil industrial
32240-099 pimenta grande / ac",RONDÔNIA
Maria Clara Rocha,548.901.362-15,32,1992-10-27,"vereda da cruz, 649
vista do sol
37312544 pacheco / ce",PARÁ
Dante Mendes,679.052.318-95,25,1999-07-25,"feira fogaça, 9
boa união 1ª seção
74794033 da mota / ms",PARÁ
Melina Fogaça,512.694.307-34,54,1970-10-23,"vila gonçalves, 965
minas caixa
60054-638 da mata verde / se",AMAPÁ
Maria Fernanda Silveira,324.791.068-96,56,1969-03-07,"aeroporto de viana
calafate
31230-098 mendes / sp",RIO GRANDE DO SUL
João Gabriel Peixoto,598.310.746-10,33,1991-11-12,"colônia silveira, 484
camargos
98622848 caldeira / ma",DISTRITO FEDERAL
Luiz Felipe Cirino,752.409.386-10,33,1992-02-12,"estrada da rocha, 37
vila jardim leblon
75188168 sousa de garcia / go",MATO GROSSO
Maria Julia Souza,537.402.691-70,26,1999-05-17,"quadra marcelo abreu, 17
barão homem de melo 3ª seção
08707734 pacheco verde / se",AMAZONAS
Pedro Miguel Pinto,183.724.596-73,55,1969-12-30,"quadra castro
marmiteiros
59589-734 moreira / rs",ALAGOAS
Clara Marques,835.407.691-10,20,2005-04-03,"morro ayla duarte, 2
são joão
82161751 martins de pires / to",PARANÁ
Bruno Castro,976.312.850-12,36,1989-04-08,"sítio freitas, 83
vila são rafael
43557-316 vieira grande / sc",GOIÁS
José Pedro Almeida,096.581.472-67,34,1991-02-05,"setor de aparecida, 1
vila jardim montanhes
08182-726 macedo da praia / ro",RIO DE JANEIRO
Sra. Lívia Farias,145.862.309-24,20,2004-09-19,"via de ribeiro, 77
vila nova cachoeirinha 2ª seção
25203-185 pastor da prata / rs",PIAUÍ
Maria Laura Oliveira,275.496.083-00,35,1989-10-06,"trevo pedro lucas abreu
confisco
40416-689 montenegro / ma",CEARÁ
Dr. Emanuel Camargo,417.856.293-28,25,1999-09-07,"passarela mateus sampaio, 5
vila sesc
85795578 camargo da serra / pe",RONDÔNIA
Evelyn Cavalcante,378.509.126-59,21,2004-06-28,"distrito nathan martins
morro dos macacos
94307-604 brito / rj",MINAS GERAIS
Levi Cavalcanti,564.718.302-62,29,1996-07-07,"passarela de das neves, 45
varzea da palma
60160244 rios dos dourados / mt",PARANÁ
Dante Fogaça,107.386.542-80,42,1983-01-03,"recanto ravi pastor, 44
são francisco das chagas
01879-218 aparecida do campo / am",RONDÔNIA
Dr. Raul Carvalho,126.348.075-62,28,1997-01-06,"fazenda levi caldeira, 91
mineirão
76088086 pinto / se",RORAIMA
Isabel Lima,462.793.051-80,18,2006-08-11,"condomínio montenegro
novo das industrias
75547509 moraes verde / al",MARANHÃO
Dra. Melina Casa Grande,809.756.312-68,45,1980-03-27,"lago das neves, 5
alta tensão 1ª seção
38391-909 porto paulista / ce",RIO DE JANEIRO
Gabriela Sales,156.029.784-02,52,1973-07-01,"distrito pinto, 11
vila aeroporto
15716-308 freitas de da costa / pi",ALAGOAS
Srta. Clara Cirino,051.283.697-30,40,1984-09-16,"largo de cavalcanti
serra verde
95332944 souza / al",CEARÁ
Dr. Nathan Guerra,418.730.295-60,25,2000-05-08,"morro de gomes, 24
carmo
00483159 azevedo de araújo / ms",ACRE
Eloá Cunha,928.674.103-04,58,1967-06-19,"avenida da mota, 421
flavio marques lisboa
19010-581 farias paulista / ac",TOCANTINS
Lívia Moreira,964.510.327-43,21,2003-12-05,"rua cauê montenegro, 89
santa isabel
21724-412 monteiro paulista / to",BAHIA
Luna Alves,683.524.109-89,23,2001-12-26,"vereda theo jesus, 92
são geraldo
51619477 alves verde / to",SERGIPE
Theo Farias,531.647.092-34,19,2006-01-08,"jardim de martins, 20
itaipu
21067378 barros verde / es",ACRE
Maria Luísa Freitas,907.832.514-32,29,1995-11-12,"parque moreira
castanheira
97601-621 fonseca / rn",BAHIA
Dra. Catarina Macedo,308.521.946-33,36,1989-06-03,"jardim abreu, 8
alta tensão 1ª seção
59809-637 martins / rj",ACRE
Alexandre Santos,391.270.658-12,55,1970-06-22,"viaduto barbosa, 481
colégio batista
29745004 das neves / ms",ESPÍRITO SANTO
Sara Silva,971.358.420-14,32,1992-12-25,"estação de silveira
nossa senhora da conceição
01949216 farias grande / ce",GOIÁS
Gustavo Henrique Fogaça,750.934.216-34,59,1966-01-30,"vale da costa
barro preto
82942973 rocha da mata / rr",DISTRITO FEDERAL
Isabel Moraes,572.049.863-00,28,1997-04-12,"distrito maria cecília oliveira, 27
estrela
71179-263 rodrigues / al",ESPÍRITO SANTO
Bárbara Jesus,528.034.176-26,23,2001-12-22,"esplanada cecília cassiano, 72
alto dos pinheiros
71363-549 rocha de minas / df",GOIÁS
Eloá Vieira,795.130.846-39,55,1970-03-25,"morro de ramos, 9
joão paulo ii
61269385 moraes da serra / es",PIAUÍ
Leonardo Azevedo,825.346.019-89,31,1994-02-25,"conjunto macedo, 1
alta tensão 2ª seção
19275405 da rosa / ma",PARANÁ
Pietro Costela,158.067.394-57,35,1990-06-14,"esplanada montenegro, 47
vila nova gameleira 2ª seção
15441-011 alves de carvalho / pb",PERNAMBUCO
Diogo Fonseca,985.160.724-01,44,1981-02-04,"trevo lima
goiania
28403-217 fogaça / es",TOCANTINS
Lucas Gabriel Campos,143.960.875-00,43,1982-06-07,"pátio de vieira, 4
são jorge 2ª seção
27310-002 barros da serra / sp",ALAGOAS
Aylla Rios,783.910.624-22,51,1973-12-02,"trevo de rocha
vila ouro minas
71421274 andrade / mt",AMAPÁ
Alice Correia,370.962.814-87,39,1986-02-12,"via andrade, 64
vila santa monica 1ª seção
27463-457 sá / rs",ALAGOAS
Gael Da Costa,801.392.674-50,47,1978-07-03,"praça duarte, 927
conjunto capitão eduardo
46281418 brito / rn",SÃO PAULO
Marcela Rezende,214.395.608-89,38,1986-12-28,"praia de machado, 4
beira linha
28872930 silva / pe",AMAPÁ
Ana Cavalcanti,094.352.186-60,50,1974-11-22,"viaduto de farias, 479
santa terezinha
29891-741 montenegro / rj",MATO GROSSO DO SUL
Miguel Campos,235.198.740-32,53,1972-05-06,"vila cecília rios, 52
diamante
22409-380 castro do amparo / ro",MARANHÃO
Maria Liz Vieira,673.294.581-55,43,1981-12-12,"feira de vieira, 66
petropolis
36478-522 da luz / am",ESPÍRITO SANTO
Maria Vitória Correia,349.207.581-97,29,1995-08-28,"fazenda bianca andrade, 34
comiteco
77285-560 guerra do oeste / se",MATO GROSSO
Srta. Mariane Guerra,281.967.534-46,43,1981-08-12,"viela de da rosa
camargos
62856558 aragão de nogueira / rj",DISTRITO FEDERAL
Hellena Costa,893.104.627-87,50,1974-12-28,"rua de garcia, 63
sion
69045-437 cassiano / ac",PIAUÍ
Lívia Pereira,562.187.309-21,29,1996-03-07,"alameda otávio vasconcelos, 90
vila cemig
01346-770 azevedo do campo / se",PARANÁ
Matteo Rocha,590.124.638-15,57,1968-06-11,"alameda gustavo henrique sá
mirante
11655-701 oliveira grande / ac",DISTRITO FEDERAL
Sra. Maria Isis Fernandes,683.742.095-00,23,2002-05-14,"parque de abreu, 45
vila real 1ª seção
16468536 montenegro / pe",MARANHÃO
Rafaela Da Mata,473.690.251-52,56,1969-06-19,"largo bernardo vieira, 53
vila inestan
14077-665 silva do sul / mg",ESPÍRITO SANTO
Theodoro Brito,276.584.019-94,43,1982-05-31,"rua fonseca, 10
vila santa monica 2ª seção
13655-039 silveira de da mata / rj",MARANHÃO
Rebeca Costa,531.742.860-26,24,2001-03-29,"feira maria eduarda pacheco
carlos prates
62497-502 correia / pe",BAHIA
Nathan Martins,170.598.243-32,60,1965-01-25,"trevo de da cruz, 657
funcionários
29172203 silva de novaes / am",PIAUÍ
Dr. Lucas Gabriel Cardoso,249.875.306-00,37,1987-08-10,"área de cassiano, 78
palmeiras
83302-423 nunes da mata / rr",MARANHÃO
Isabelly Viana,891.037.564-75,19,2005-11-05,"travessa câmara, 11
vila havaí
31572-840 aragão de da mata / df",RIO DE JANEIRO
Rodrigo Freitas,805.679.132-95,22,2002-10-30,"viaduto de fonseca, 5
aguas claras
12900157 vieira / ba",BAHIA
Dra. Emanuelly Caldeira,793.548.602-65,28,1996-09-19,"via de da costa, 39
nova floresta
65241116 da luz do oeste / pb",RONDÔNIA
Maria Fernanda Gomes,681.049.275-58,33,1991-10-13,"chácara brito, 74
alta tensão 1ª seção
27315265 câmara / df",ACRE
José Cavalcanti,971.583.204-05,41,1984-01-20,"trecho gabriel cassiano, 8
pilar
95451463 porto / rr",BAHIA
Mirella Nogueira,246.758.913-73,50,1975-01-17,"campo de sá, 5
cônego pinheiro 1ª seção
08997560 novais / ac",RONDÔNIA
Fernanda Borges,849.173.062-13,51,1973-12-17,"esplanada de cardoso, 89
rio branco
30031-718 porto / mg",ACRE
Ravi Lucca Pacheco,251.684.970-20,53,1971-12-17,"condomínio de farias, 95
santa helena
03808-701 pires / sp",SANTA CATARINA
Luiz Miguel Da Mata,286.034.591-42,36,1988-11-23,"favela guerra, 56
silveira
08538105 das neves / pe",TOCANTINS
Rael Rios,275.493.861-37,42,1983-07-12,"vale lara pereira, 37
luxemburgo
56096354 fernandes / to",PARANÁ
Oliver Monteiro,903.841.567-20,20,2004-12-23,"lago câmara, 246
são jorge 1ª seção
01101612 lopes do oeste / ap",AMAPÁ
Pedro Araújo,609.145.278-94,45,1980-04-08,"lago de souza
castanheira
86364-961 da mota da serra / sc",SANTA CATARINA
Eloah Barros,605.728.149-76,48,1976-08-24,"quadra sara pimenta
colégio batista
82917161 novaes verde / ms",AMAPÁ
Marcos Vinicius Mendes,106.832.794-40,56,1969-04-01,"vereda leão, 66
marajó
06454-036 cardoso / to",SANTA CATARINA
João Pedro Gomes,719.286.534-64,51,1974-03-02,"parque murilo moura
vila santa monica 1ª seção
16405-578 sousa / rj",MATO GROSSO
Asafe Freitas,436.807.159-00,28,1997-03-21,"ladeira leão, 417
colégio batista
15229091 siqueira da praia / am",MARANHÃO
Henry Gabriel Leão,620.894.735-92,59,1966-04-30,"área de cassiano, 71
santa tereza
46608093 gonçalves do campo / sc",MATO GROSSO DO SUL
Lavínia Nunes,194.563.287-91,30,1994-12-01,"jardim isabel castro, 37
novo ouro preto
54808489 caldeira / rr",ALAGOAS
Maria Liz Leão,581.679.403-57,33,1992-05-25,"vereda de alves, 52
vila pilar
56406984 fogaça de minas / se",MINAS GERAIS
João Gabriel Cunha,517.604.983-00,47,1978-01-07,"área de duarte, 38
serrano
28976144 da cunha / ap",BAHIA
Calebe Duarte,108.632.975-95,22,2002-11-06,"chácara de rocha, 11
jardim do vale
61186225 monteiro / ma",DISTRITO FEDERAL
Alexandre Borges,358.712.964-91,49,1976-06-23,"quadra pires
minas brasil
27367580 monteiro alegre / rr",AMAZONAS
Srta. Sarah Martins,031.289.645-05,24,2001-06-27,"residencial melo, 392
vila atila de paiva
91526-165 rocha do campo / se",MATO GROSSO
Carolina Montenegro,743.068.925-65,27,1998-07-08,"alameda de lopes, 29
vila mantiqueira
01121613 garcia / ac",MARANHÃO
Dante Pinto,139.468.072-40,19,2006-07-07,"quadra de da paz
conjunto lagoa
74822611 câmara / ap",ESPÍRITO SANTO
Dom Oliveira,032.489.615-89,48,1976-07-27,"jardim barros, 27
vila são rafael
07182595 azevedo alegre / ro",RONDÔNIA
Gael Peixoto,956.420.387-29,55,1970-04-05,"ladeira isabela peixoto
santa margarida
72822284 silveira do sul / sc",PARAÍBA
Srta. Gabrielly Da Cruz,529.314.760-99,40,1985-02-20,"condomínio de costa, 357
vila canto do sabiá
59603-487 novaes / se",RIO GRANDE DO NORTE
Eduardo Novaes,384.627.951-09,59,1965-12-28,"estrada de da rocha
cardoso
75364854 montenegro / pe",SERGIPE
Antonella Cassiano,463.952.710-16,24,2000-08-24,"estação porto, 5
conjunto lagoa
33643-961 farias / sc",SANTA CATARINA
Vicente Sá,759.608.243-29,23,2002-05-08,"núcleo de silveira, 49
jardim são josé
93166383 da costa / pr",GOIÁS
Lucas Gabriel Da Paz,704.812.596-94,19,2006-02-23,"residencial thiago andrade
aparecida 7ª seção
90212-623 silveira / pe",MATO GROSSO
Lucca Alves,175.694.230-70,38,1986-10-18,"trecho bernardo ramos, 29
conjunto lagoa
17556239 ramos de dias / rs",ALAGOAS
Asafe Silva,398.075.241-05,59,1966-02-17,"praça de cavalcante
dom joaquim
81651-648 castro / ma",PARANÁ
Luna Teixeira,786.542.319-55,29,1995-09-17,"condomínio davi luiz ramos, 44
manacas
45350619 moura do sul / al",GOIÁS
Ana Vitória Mendonça,927.608.143-78,58,1966-12-02,"setor joão miguel carvalho, 182
vila satélite
11963-196 garcia / mt",SANTA CATARINA
Bárbara Caldeira,168.952.743-91,25,1999-10-25,"núcleo ayla araújo, 332
aeroporto
29014541 melo / mg",PERNAMBUCO
Clara Lima,154.238.690-05,53,1972-04-06,"largo ryan garcia, 6
santo agostinho
43875-704 lopes / pe",RIO GRANDE DO SUL
